@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 64\nSize of the tree: 71\n','Number of leaves: 82\nSize of the tree: 91\n','Number of leaves: 73\nSize of the tree: 81\n','Number of leaves: 55\nSize of the tree: 61\n','Number of leaves: 91\nSize of the tree: 101\n','Number of leaves: 100\nSize of the tree: 111\n','Number of leaves: 109\nSize of the tree: 121\n','Number of leaves: 118\nSize of the tree: 131\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 21\nSize of the tree: 41\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,11,10,0,52.380952,47.619048,0,0.285714,0.141065,0.299338,67.326484,93.347044,44.430294,3242.566051,-3198.135757,2.115728,154.407907,-152.292179,16.18025,0.770488,36.417157,0.571429,4,0.357143,5,0.642857,9,0.428571,3,0.444444,0.571429,0.5,0.204124,0.719388,0.558448,0.52381,0.265568,0.734432,0.47619,?,0.52381,?,?,0.71097,0.543425,?,0.52381,0.002,0,0,0,0,0,27101,26180,7432,80.952381,32.653061,'Number of leaves: 64\nSize of the tree: 71\n',71,64,64
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,12,10,0,54.545455,45.454545,0,0.352941,0.151722,0.302226,71.687611,93.182512,48.002519,1103.267472,-1055.264953,2.181933,50.148521,-47.966589,21.423022,0.973774,44.628954,0.571429,4,0.4,6,0.6,9,0.428571,3,0.4,0.571429,0.470588,0.160357,0.642857,0.413095,0.545455,0.231169,0.768831,0.454545,?,0.545455,?,?,0.726299,0.531607,?,0.545455,0.003,0,0,0,0,0,32869,26071,7541,95.454545,35.714286,'Number of leaves: 82\nSize of the tree: 91\n',91,82,82
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,14,8,0,63.636364,36.363636,0,0.497143,0.131725,0.258318,62.239549,79.644815,48.002519,1095.724714,-1047.722195,2.181933,49.805669,-47.623736,24.370926,1.107769,50.770098,0.857143,6,0.266667,4,0.733333,11,0.142857,1,0.6,0.857143,0.705882,0.55234,0.861905,0.62619,0.636364,0.127341,0.872659,0.363636,?,0.636364,?,?,0.86645,0.68168,?,0.636364,0.002,0.001,0,0,0,0,24217,26071,7541,95.454545,37.012987,'Number of leaves: 55\nSize of the tree: 61\n',61,55,55
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,13,9,0,59.090909,40.909091,0,0.417647,0.128121,0.274895,60.536689,84.755763,48.002519,1098.508888,-1050.506369,2.181933,49.932222,-47.75029,22.437334,1.019879,46.741994,0.571429,4,0.266667,4,0.733333,11,0.428571,3,0.5,0.571429,0.533333,0.295084,0.733333,0.601185,0.590909,0.190909,0.809091,0.409091,?,0.590909,?,?,0.836255,0.669316,?,0.590909,0.002,0.001,0,0,0,0,29985,26071,7541,90.909091,33.116883,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,13,9,0,59.090909,40.909091,0,0.429395,0.143369,0.303202,67.741154,93.483262,48.002519,3243.235957,-3195.233439,2.181933,147.419816,-145.237884,20.762201,0.943736,43.252317,0.857143,6,0.4,6,0.6,9,0.142857,1,0.5,0.857143,0.631579,0.427618,0.728571,0.476786,0.590909,0.167601,0.832399,0.409091,?,0.590909,?,?,0.726059,0.549042,?,0.590909,0.002,0,0.01,0,10,0,29985,26071,7541,86.363636,32.467532,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,10,11,0,47.619048,52.380952,0,0.227425,0.165938,0.326693,79.35217,102.105118,43.687682,3247.256027,-3203.568345,2.080366,154.631239,-152.550874,13.431112,0.639577,30.743476,0.714286,5,0.428571,6,0.571429,8,0.285714,2,0.454545,0.714286,0.555556,0.26968,0.607143,0.413853,0.47619,0.26801,0.73199,0.52381,?,0.47619,?,?,0.634507,0.443168,?,0.47619,0.002,0.001,0.01,0,10,0,27101,26180,7432,85.714286,36.054422,'Number of leaves: 64\nSize of the tree: 71\n',71,64,64
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,15,6,0,71.428571,28.571429,0,0.582781,0.104219,0.233679,49.515864,72.499054,45.610762,2160.168805,-2114.558043,2.171941,102.865181,-100.69324,27.310136,1.300483,59.876518,1,7,0.285714,4,0.714286,10,0,0,0.636364,1,0.777778,0.6742,0.933673,0.82619,0.714286,0.153846,0.846154,0.285714,?,0.714286,?,?,0.88515,0.810195,?,0.714286,0.002,0,0,0,0,0,29985,26180,7432,90.47619,29.251701,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,11,10,0,52.380952,47.619048,0,0.355828,0.144861,0.313933,68.012079,96.103497,46.924024,4312.161166,-4265.237142,2.234477,205.341008,-203.106531,19.128444,0.910878,40.764715,0.571429,4,0.285714,4,0.714286,10,0.428571,3,0.5,0.571429,0.533333,0.27735,0.739796,0.613553,0.52381,0.181997,0.818003,0.47619,?,0.52381,?,?,0.737913,0.530883,?,0.52381,0.012,0.001,0,0,0,0,29985,26180,7432,80.952381,29.931973,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,11,10,0,52.380952,47.619048,0,0.339623,0.17875,0.332484,83.922943,101.782617,46.924024,4319.083473,-4272.15945,2.234477,205.670642,-203.436164,14.892556,0.709169,31.737595,1,7,0.214286,3,0.785714,11,0,0,0.7,1,0.823529,0.74162,0.857143,0.647619,0.52381,0.179073,0.820927,0.47619,?,0.52381,?,?,0.700879,0.500983,?,0.52381,0.001,0,0,0,0,0,32869,26180,7432,80.952381,38.095238,'Number of leaves: 82\nSize of the tree: 91\n',91,82,82
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,15,6,0,71.428571,28.571429,0,0.593548,0.120628,0.266767,56.706893,81.780145,46.480972,1097.473033,-1050.992061,2.21338,52.260621,-50.047241,22.70829,1.081347,48.855024,1,7,0.285714,4,0.714286,10,0,0,0.636364,1,0.777778,0.6742,0.836735,0.668831,0.714286,0.126984,0.873016,0.285714,?,0.714286,?,?,0.808996,0.640026,?,0.714286,0.001,0,0,0,0,0,29985,26180,7432,95.238095,31.972789,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
